tau,Phenol_75 PINN,cb,Phenyl Acetate_75 PINN,cd
0.000000000000000000e+00,1.668607443571090698e-01,3.553932607173919678e-01,-3.558602184057235718e-04,1.082047820091247559e-04
1.000000000000000021e-02,1.664727181196212769e-01,3.550302088260650635e-01,-1.505203545093536377e-05,4.773586988449096680e-04
2.000000000000000042e-02,1.660846918821334839e-01,3.546676039695739746e-01,3.241989761590957642e-04,8.453503251075744629e-04
2.999999999999999889e-02,1.656966358423233032e-01,3.543057441711425781e-01,6.618909537792205811e-04,1.212105154991149902e-03
4.000000000000000083e-02,1.653086990118026733e-01,3.539443612098693848e-01,9.980648756027221680e-04,1.577697694301605225e-03
5.000000000000000278e-02,1.649207323789596558e-01,3.535837531089782715e-01,1.332655549049377441e-03,1.942083239555358887e-03
5.999999999999999778e-02,1.645328849554061890e-01,3.532238602638244629e-01,1.665735617280006409e-03,2.305202186107635498e-03
7.000000000000000666e-02,1.641452312469482422e-01,3.528646230697631836e-01,1.997258514165878296e-03,2.667158842086791992e-03
8.000000000000000167e-02,1.637576520442962646e-01,3.525060713291168213e-01,2.327278256416320801e-03,3.027908504009246826e-03
8.999999999999999667e-02,1.633701920509338379e-01,3.521482944488525391e-01,2.655761316418647766e-03,3.387399017810821533e-03
1.000000000000000056e-01,1.629830598831176758e-01,3.517912924289703369e-01,2.982750535011291504e-03,3.745727241039276123e-03
1.100000000000000006e-01,1.625961065292358398e-01,3.514349758625030518e-01,3.308210521936416626e-03,4.102788865566253662e-03
1.199999999999999956e-01,1.622095555067062378e-01,3.510795235633850098e-01,3.632133826613426208e-03,4.458695650100708008e-03
1.300000000000000044e-01,1.618230491876602173e-01,3.507249355316162109e-01,3.954600542783737183e-03,4.813306033611297607e-03
1.400000000000000133e-01,1.614370197057723999e-01,3.503711223602294922e-01,4.275556653738021851e-03,5.166776478290557861e-03
1.499999999999999944e-01,1.610513329505920410e-01,3.500181436538696289e-01,4.595011472702026367e-03,5.519025027751922607e-03
1.600000000000000033e-01,1.606660485267639160e-01,3.496661186218261719e-01,4.912985488772392273e-03,5.870036780834197998e-03
1.700000000000000122e-01,1.602810323238372803e-01,3.493149578571319580e-01,5.229564383625984192e-03,6.219781935214996338e-03
1.799999999999999933e-01,1.598965972661972046e-01,3.489646613597869873e-01,5.544615909457206726e-03,6.568402051925659180e-03
1.900000000000000022e-01,1.595125049352645874e-01,3.486153185367584229e-01,5.858223885297775269e-03,6.915718317031860352e-03
2.000000000000000111e-01,1.591289192438125610e-01,3.482668399810791016e-01,6.170423701405525208e-03,7.261916995048522949e-03
2.099999999999999922e-01,1.587458252906799316e-01,3.479193449020385742e-01,6.481127813458442688e-03,7.606811821460723877e-03
2.200000000000000011e-01,1.583632528781890869e-01,3.475728929042816162e-01,6.790438666939735413e-03,7.950514554977416992e-03
2.300000000000000100e-01,1.579812467098236084e-01,3.472273349761962891e-01,7.098345085978507996e-03,8.293017745018005371e-03
2.399999999999999911e-01,1.575997769832611084e-01,3.468827307224273682e-01,7.404813542962074280e-03,8.634351193904876709e-03
2.500000000000000000e-01,1.572189331054687500e-01,3.465392291545867920e-01,7.709952071309089661e-03,8.974395692348480225e-03
2.600000000000000089e-01,1.568387299776077271e-01,3.461966514587402344e-01,8.013598620891571045e-03,9.313315153121948242e-03
2.700000000000000178e-01,1.564590781927108765e-01,3.458551168441772461e-01,8.315980434417724609e-03,9.650938212871551514e-03
2.800000000000000266e-01,1.560801565647125244e-01,3.455146253108978271e-01,8.616977371275424957e-03,9.987413883209228516e-03
2.899999999999999800e-01,1.557019799947738647e-01,3.451751172542572021e-01,8.916539140045642853e-03,1.032272726297378540e-02
2.999999999999999889e-01,1.553243845701217651e-01,3.448367118835449219e-01,9.214827790856361389e-03,1.065681129693984985e-02
3.099999999999999978e-01,1.549476534128189087e-01,3.444993197917938232e-01,9.511806070804595947e-03,1.098971813917160034e-02
3.200000000000000067e-01,1.545715332031250000e-01,3.441630601882934570e-01,9.807455353438854218e-03,1.132137328386306763e-02
3.300000000000000155e-01,1.541961133480072021e-01,3.438278138637542725e-01,1.010180264711380005e-02,1.165188103914260864e-02
3.400000000000000244e-01,1.538216471672058105e-01,3.434937298297882080e-01,1.039485074579715729e-02,1.198119670152664185e-02
3.500000000000000333e-01,1.534479558467864990e-01,3.431607186794281006e-01,1.068662200123071671e-02,1.230937242507934570e-02
3.599999999999999867e-01,1.530750244855880737e-01,3.428287804126739502e-01,1.097713410854339600e-02,1.263631135225296021e-02
3.699999999999999956e-01,1.527029424905776978e-01,3.424979150295257568e-01,1.126635726541280746e-02,1.296216621994972229e-02
3.800000000000000044e-01,1.523318439722061157e-01,3.421681821346282959e-01,1.155436225235462189e-02,1.328681409358978271e-02
3.900000000000000133e-01,1.519614905118942261e-01,3.418395817279815674e-01,1.184113323688507080e-02,1.361027732491493225e-02
4.000000000000000222e-01,1.515920460224151611e-01,3.415120840072631836e-01,1.212670747190713882e-02,1.393252983689308167e-02
4.100000000000000311e-01,1.512235701084136963e-01,3.411856591701507568e-01,1.241104956716299057e-02,1.425376161932945251e-02
4.199999999999999845e-01,1.508559584617614746e-01,3.408604562282562256e-01,1.269426383078098297e-02,1.457370817661285400e-02
4.299999999999999933e-01,1.504893451929092407e-01,3.405362963676452637e-01,1.297623384743928909e-02,1.489261537790298462e-02
4.400000000000000022e-01,1.501237303018569946e-01,3.402133285999298096e-01,1.325705740600824356e-02,1.521032676100730896e-02
4.500000000000000111e-01,1.497589945793151855e-01,3.398915231227874756e-01,1.353677641600370407e-02,1.552686840295791626e-02
4.600000000000000200e-01,1.493952870368957520e-01,3.395707905292510986e-01,1.381529495120048523e-02,1.584231108427047729e-02
4.700000000000000289e-01,1.490325182676315308e-01,3.392511308193206787e-01,1.409268379211425781e-02,1.615663245320320129e-02
4.799999999999999822e-01,1.486708074808120728e-01,3.389327526092529297e-01,1.436898950487375259e-02,1.646980270743370056e-02
4.899999999999999911e-01,1.483101993799209595e-01,3.386154472827911377e-01,1.464421022683382034e-02,1.678190752863883972e-02
5.000000000000000000e-01,1.479505747556686401e-01,3.382993042469024658e-01,1.491831801831722260e-02,1.709285005927085876e-02
5.100000000000000089e-01,1.475920081138610840e-01,3.379842638969421387e-01,1.519135385751724243e-02,1.740272715687751770e-02
5.200000000000000178e-01,1.472344994544982910e-01,3.376703858375549316e-01,1.546335685998201370e-02,1.771143078804016113e-02
5.300000000000000266e-01,1.468780934810638428e-01,3.373576700687408447e-01,1.573431491851806641e-02,1.801907643675804138e-02
5.400000000000000355e-01,1.465227156877517700e-01,3.370460271835327148e-01,1.600427925586700439e-02,1.832565292716026306e-02
5.500000000000000444e-01,1.461685448884963989e-01,3.367356061935424805e-01,1.627318002283573151e-02,1.863118633627891541e-02
