tau,Phenol_75 PINN,cb,Phenyl Acetate_75 PINN,cd
0.000000000000000000e+00,1.664645969867706299e-01,3.555995523929595947e-01,-2.461243420839309692e-04,5.982816219329833984e-06
1.000000000000000021e-02,1.660901755094528198e-01,3.552521765232086182e-01,1.018517650663852692e-04,3.721788525581359863e-04
2.000000000000000042e-02,1.657155603170394897e-01,3.549036085605621338e-01,4.476639442145824432e-04,7.367804646492004395e-04
2.999999999999999889e-02,1.653409153223037720e-01,3.545539379119873047e-01,7.915892638266086578e-04,1.099832355976104736e-03
4.000000000000000083e-02,1.649662703275680542e-01,3.542031943798065186e-01,1.133333425968885422e-03,1.461341977119445801e-03
5.000000000000000278e-02,1.645916402339935303e-01,3.538515865802764893e-01,1.473154406994581223e-03,1.821383833885192871e-03
5.999999999999999778e-02,1.642170250415802002e-01,3.534991443157196045e-01,1.810902263969182968e-03,2.179898321628570557e-03
7.000000000000000666e-02,1.638424545526504517e-01,3.531459271907806396e-01,2.146633807569742203e-03,2.536877989768981934e-03
8.000000000000000167e-02,1.634680479764938354e-01,3.527920842170715332e-01,2.480379771441221237e-03,2.892434597015380859e-03
8.999999999999999667e-02,1.630936712026596069e-01,3.524376153945922852e-01,2.812150400131940842e-03,3.246501088142395020e-03
1.000000000000000056e-01,1.627194583415985107e-01,3.520826995372772217e-01,3.141873050481081009e-03,3.599084913730621338e-03
1.100000000000000006e-01,1.623454689979553223e-01,3.517273366451263428e-01,3.469668794423341751e-03,3.950282931327819824e-03
1.199999999999999956e-01,1.619717329740524292e-01,3.513717651367187500e-01,3.795476164668798447e-03,4.300065338611602783e-03
1.300000000000000044e-01,1.615981757640838623e-01,3.510158956050872803e-01,4.119311925023794174e-03,4.648432135581970215e-03
1.400000000000000133e-01,1.612248867750167847e-01,3.506598770618438721e-01,4.441304598003625870e-03,4.995428025722503662e-03
1.499999999999999944e-01,1.608519405126571655e-01,3.503038585186004639e-01,4.761246498674154282e-03,5.341023206710815430e-03
1.600000000000000033e-01,1.604792922735214233e-01,3.499477207660675049e-01,5.079335067421197891e-03,5.685262382030487061e-03
1.700000000000000122e-01,1.601069867610931396e-01,3.495917618274688721e-01,5.395568441599607468e-03,6.028190255165100098e-03
1.799999999999999933e-01,1.597350537776947021e-01,3.492360115051269531e-01,5.709955934435129166e-03,6.369844079017639160e-03
1.900000000000000022e-01,1.593635082244873047e-01,3.488803803920745850e-01,6.022441666573286057e-03,6.710104644298553467e-03
2.000000000000000111e-01,1.589923352003097534e-01,3.485251367092132568e-01,6.333096418529748917e-03,7.049098610877990723e-03
2.099999999999999922e-01,1.586217284202575684e-01,3.481702804565429688e-01,6.641972344368696213e-03,7.386855781078338623e-03
2.200000000000000011e-01,1.582514941692352295e-01,3.478158116340637207e-01,6.949092727154493332e-03,7.723346352577209473e-03
2.300000000000000100e-01,1.578817665576934814e-01,3.474618494510650635e-01,7.254404481500387192e-03,8.058592677116394043e-03
2.399999999999999911e-01,1.575124710798263550e-01,3.471084833145141602e-01,7.557924371212720871e-03,8.392587304115295410e-03
2.500000000000000000e-01,1.571437567472457886e-01,3.467557728290557861e-01,7.859909906983375549e-03,8.725389838218688965e-03
2.600000000000000089e-01,1.567757129669189453e-01,3.464037775993347168e-01,8.160008117556571960e-03,9.057030081748962402e-03
2.700000000000000178e-01,1.564080417156219482e-01,3.460525572299957275e-01,8.458450436592102051e-03,9.387478232383728027e-03
2.800000000000000266e-01,1.560410261154174805e-01,3.457021117210388184e-01,8.755329996347427368e-03,9.716756641864776611e-03
2.899999999999999800e-01,1.556745767593383789e-01,3.453525304794311523e-01,9.050616994500160217e-03,1.004489511251449585e-02
2.999999999999999889e-01,1.553087830543518066e-01,3.450038433074951172e-01,9.344277903437614441e-03,1.037187129259109497e-02
3.099999999999999978e-01,1.549436450004577637e-01,3.446561396121978760e-01,9.636253118515014648e-03,1.069778203964233398e-02
3.200000000000000067e-01,1.545791476964950562e-01,3.443094789981842041e-01,9.926756843924522400e-03,1.102253049612045288e-02
3.300000000000000155e-01,1.542152166366577148e-01,3.439638912677764893e-01,1.021588034927845001e-02,1.134627312421798706e-02
3.400000000000000244e-01,1.538521349430084229e-01,3.436193764209747314e-01,1.050332374870777130e-02,1.166889816522598267e-02
3.500000000000000333e-01,1.534895896911621094e-01,3.432760536670684814e-01,1.078940741717815399e-02,1.199051737785339355e-02
3.599999999999999867e-01,1.531278192996978760e-01,3.429338634014129639e-01,1.107403635978698730e-02,1.231099665164947510e-02
3.699999999999999956e-01,1.527667343616485596e-01,3.425929248332977295e-01,1.135722547769546509e-02,1.263047754764556885e-02
3.800000000000000044e-01,1.524064391851425171e-01,3.422532677650451660e-01,1.163911633193492889e-02,1.294894516468048096e-02
3.900000000000000133e-01,1.520469039678573608e-01,3.419148921966552734e-01,1.191965304315090179e-02,1.326642930507659912e-02
4.000000000000000222e-01,1.516880244016647339e-01,3.415777683258056641e-01,1.219883561134338379e-02,1.358288526535034180e-02
4.100000000000000311e-01,1.513299047946929932e-01,3.412420749664306641e-01,1.247676275670528412e-02,1.389837265014648438e-02
4.199999999999999845e-01,1.509725600481033325e-01,3.409076929092407227e-01,1.275337114930152893e-02,1.421286165714263916e-02
4.299999999999999933e-01,1.506160199642181396e-01,3.405747413635253906e-01,1.302876137197017670e-02,1.452642679214477539e-02
4.400000000000000022e-01,1.502602696418762207e-01,3.402432203292846680e-01,1.330296322703361511e-02,1.483901590108871460e-02
4.500000000000000111e-01,1.499053239822387695e-01,3.399131894111633301e-01,1.357598416507244110e-02,1.515068858861923218e-02
4.600000000000000200e-01,1.495512276887893677e-01,3.395845890045166016e-01,1.384786143898963928e-02,1.546142250299453735e-02
4.700000000000000289e-01,1.491978317499160767e-01,3.392573595046997070e-01,1.411865465342998505e-02,1.577123254537582397e-02
4.799999999999999822e-01,1.488454192876815796e-01,3.389318585395812988e-01,1.438822597265243530e-02,1.608013361692428589e-02
4.899999999999999911e-01,1.484936922788619995e-01,3.386076688766479492e-01,1.465681940317153931e-02,1.638811081647872925e-02
5.000000000000000000e-01,1.481427997350692749e-01,3.382850587368011475e-01,1.492444053292274475e-02,1.669522374868392944e-02
5.100000000000000089e-01,1.477929204702377319e-01,3.379639983177185059e-01,1.519093289971351624e-02,1.700143516063690186e-02
5.200000000000000178e-01,1.474436968564987183e-01,3.376444876194000244e-01,1.545650511980056763e-02,1.730675995349884033e-02
5.300000000000000266e-01,1.470954716205596924e-01,3.373265564441680908e-01,1.572112925350666046e-02,1.761129498481750488e-02
5.400000000000000355e-01,1.467480063438415527e-01,3.370100557804107666e-01,1.598482392728328705e-02,1.791486144065856934e-02
5.500000000000000444e-01,1.464015096426010132e-01,3.366952240467071533e-01,1.624749600887298584e-02,1.821760833263397217e-02
5.600000000000000533e-01,1.460557729005813599e-01,3.363819420337677002e-01,1.650931313633918762e-02,1.851951330900192261e-02
5.700000000000000622e-01,1.457110643386840820e-01,3.360702395439147949e-01,1.677040569484233856e-02,1.882059127092361450e-02
5.799999999999999600e-01,1.453670561313629150e-01,3.357600271701812744e-01,1.703054271638393402e-02,1.912079751491546631e-02
5.899999999999999689e-01,1.450239270925521851e-01,3.354513347148895264e-01,1.728991791605949402e-02,1.942013204097747803e-02
5.999999999999999778e-01,1.446819007396697998e-01,3.351443111896514893e-01,1.754852943122386932e-02,1.971876621246337891e-02
6.099999999999999867e-01,1.443405449390411377e-01,3.348387479782104492e-01,1.780632138252258301e-02,2.001651376485824585e-02
6.199999999999999956e-01,1.440002322196960449e-01,3.345348238945007324e-01,1.806335896253585815e-02,2.031341940164566040e-02
6.300000000000000044e-01,1.436608135700225830e-01,3.342325091361999512e-01,1.831968314945697784e-02,2.060955762863159180e-02
6.400000000000000133e-01,1.433221101760864258e-01,3.339315950870513916e-01,1.857536844909191132e-02,2.090482413768768311e-02
6.500000000000000222e-01,1.429844647645950317e-01,3.336322009563446045e-01,1.883034035563468933e-02,2.119930088520050049e-02
6.600000000000000311e-01,1.426477283239364624e-01,3.333344459533691406e-01,1.908475346863269806e-02,2.149304002523422241e-02
6.700000000000000400e-01,1.423118859529495239e-01,3.330381214618682861e-01,1.933837682008743286e-02,2.178600430488586426e-02
6.800000000000000488e-01,1.419769078493118286e-01,3.327433466911315918e-01,1.959150098264217377e-02,2.207811176776885986e-02
6.900000000000000577e-01,1.416429579257965088e-01,3.324500024318695068e-01,1.984397508203983307e-02,2.236937731504440308e-02
7.000000000000000666e-01,1.413098126649856567e-01,3.321580886840820312e-01,2.009583637118339539e-02,2.265990525484085083e-02
7.099999999999999645e-01,1.409776061773300171e-01,3.318677246570587158e-01,2.034727297723293304e-02,2.294962853193283081e-02
7.199999999999999734e-01,1.406463086605072021e-01,3.315788209438323975e-01,2.059806324541568756e-02,2.323859184980392456e-02
7.299999999999999822e-01,1.403161436319351196e-01,3.312913477420806885e-01,2.084830775856971741e-02,2.352682501077651978e-02
7.399999999999999911e-01,1.399866640567779541e-01,3.310051560401916504e-01,2.109813876450061798e-02,2.381416410207748413e-02
7.500000000000000000e-01,1.396583467721939087e-01,3.307206630706787109e-01,2.134735882282257080e-02,2.410085499286651611e-02
7.600000000000000089e-01,1.393307745456695557e-01,3.304372131824493408e-01,2.159623242914676666e-02,2.438665181398391724e-02
7.700000000000000178e-01,1.390042304992675781e-01,3.301554918289184570e-01,2.184451930224895477e-02,2.467179298400878906e-02
7.800000000000000266e-01,1.386785507202148438e-01,3.298749327659606934e-01,2.209232747554779053e-02,2.495599538087844849e-02
7.900000000000000355e-01,1.383538395166397095e-01,3.295957148075103760e-01,2.233988046646118164e-02,2.523963153362274170e-02
8.000000000000000444e-01,1.380301862955093384e-01,3.293179273605346680e-01,2.258691005408763885e-02,2.552238851785659790e-02
8.100000000000000533e-01,1.377073824405670166e-01,3.290413320064544678e-01,2.283352985978126526e-02,2.580440789461135864e-02
8.200000000000000622e-01,1.373854428529739380e-01,3.287660181522369385e-01,2.307967841625213623e-02,2.608548849821090698e-02
