time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
0.000000000000000000e+00,5.009173750877380371e-01,1.500805974006652832e+00,-3.620460629463195801e-04,8.064219728112220764e-04
1.000000000000000021e-02,5.000835061073303223e-01,1.500014781951904297e+00,4.216134548187255859e-04,8.065933361649513245e-04
2.000000000000000042e-02,4.992493689060211182e-01,1.499223351478576660e+00,1.203518360853195190e-03,8.072815835475921631e-04
2.999999999999999889e-02,4.984146058559417725e-01,1.498432517051696777e+00,1.983374357223510742e-03,8.079856634140014648e-04
4.000000000000000083e-02,4.975798428058624268e-01,1.497641921043395996e+00,2.761099487543106079e-03,8.087232708930969238e-04
5.000000000000000278e-02,4.967446029186248779e-01,1.496851921081542969e+00,3.536827862262725830e-03,8.095465600490570068e-04
5.999999999999999778e-02,4.959092438220977783e-01,1.496062159538269043e+00,4.310525953769683838e-03,8.105402812361717224e-04
7.000000000000000666e-02,4.950737059116363525e-01,1.495273113250732422e+00,5.082309246063232422e-03,8.117640390992164612e-04
8.000000000000000167e-02,4.942382276058197021e-01,1.494484543800354004e+00,5.851887166500091553e-03,8.128779008984565735e-04
8.999999999999999667e-02,4.934028685092926025e-01,1.493697047233581543e+00,6.619371473789215088e-03,8.142944425344467163e-04
1.000000000000000056e-01,4.925675690174102783e-01,1.492909908294677734e+00,7.384791970252990723e-03,8.156709372997283936e-04
1.100000000000000006e-01,4.917324483394622803e-01,1.492123723030090332e+00,8.147988468408584595e-03,8.173743262887001038e-04
1.199999999999999956e-01,4.908975660800933838e-01,1.491338372230529785e+00,8.909225463867187500e-03,8.190860971808433533e-04
1.300000000000000044e-01,4.900629222393035889e-01,1.490553498268127441e+00,9.668163955211639404e-03,8.209655061364173889e-04
1.400000000000000133e-01,4.892286956310272217e-01,1.489769935607910156e+00,1.042517274618148804e-02,8.229790255427360535e-04
1.499999999999999944e-01,4.883950054645538330e-01,1.488987207412719727e+00,1.117984205484390259e-02,8.250912651419639587e-04
1.600000000000000033e-01,4.875617921352386475e-01,1.488205790519714355e+00,1.193232461810112000e-02,8.271532133221626282e-04
1.700000000000000122e-01,4.867291748523712158e-01,1.487425088882446289e+00,1.268272474408149719e-02,8.296649903059005737e-04
1.799999999999999933e-01,4.858969748020172119e-01,1.486645460128784180e+00,1.343082264065742493e-02,8.319467306137084961e-04
1.900000000000000022e-01,4.850656688213348389e-01,1.485867023468017578e+00,1.417686045169830322e-02,8.346904069185256958e-04
2.000000000000000111e-01,4.842350184917449951e-01,1.485089778900146484e+00,1.492062211036682129e-02,8.372878655791282654e-04
2.099999999999999922e-01,4.834053218364715576e-01,1.484313607215881348e+00,1.566218212246894836e-02,8.401526138186454773e-04
2.200000000000000011e-01,4.825762808322906494e-01,1.483538746833801270e+00,1.640161871910095215e-02,8.430993184447288513e-04
2.300000000000000100e-01,4.817483127117156982e-01,1.482765316963195801e+00,1.713871955871582031e-02,8.460907265543937683e-04
2.399999999999999911e-01,4.809212386608123779e-01,1.481992959976196289e+00,1.787355169653892517e-02,8.491892367601394653e-04
2.500000000000000000e-01,4.800952374935150146e-01,1.481221795082092285e+00,1.860634610056877136e-02,8.525792509317398071e-04
2.600000000000000089e-01,4.792704284191131592e-01,1.480452299118041992e+00,1.933677121996879578e-02,8.558733388781547546e-04
2.700000000000000178e-01,4.784466326236724854e-01,1.479684114456176758e+00,2.006493136286735535e-02,8.592884987592697144e-04
2.800000000000000266e-01,4.776241481304168701e-01,1.478917121887207031e+00,2.079095318913459778e-02,8.627772331237792969e-04
2.899999999999999800e-01,4.768028557300567627e-01,1.478151917457580566e+00,2.151466906070709229e-02,8.664987981319427490e-04
2.999999999999999889e-01,4.759827554225921631e-01,1.477387785911560059e+00,2.223627269268035889e-02,8.702566847205162048e-04
3.099999999999999978e-01,4.751641452312469482e-01,1.476625442504882812e+00,2.295550331473350525e-02,8.741021156311035156e-04
3.200000000000000067e-01,4.743469655513763428e-01,1.475864648818969727e+00,2.367249131202697754e-02,8.780499920248985291e-04
3.300000000000000155e-01,4.735311567783355713e-01,1.475105285644531250e+00,2.438733354210853577e-02,8.819717913866043091e-04
3.400000000000000244e-01,4.727168381214141846e-01,1.474347472190856934e+00,2.509995549917221069e-02,8.862335234880447388e-04
3.500000000000000333e-01,4.719043076038360596e-01,1.473591089248657227e+00,2.581032738089561462e-02,8.905483409762382507e-04
3.599999999999999867e-01,4.710929691791534424e-01,1.472836375236511230e+00,2.651835978031158447e-02,8.947057649493217468e-04
3.699999999999999956e-01,4.702833592891693115e-01,1.472083449363708496e+00,2.722427994012832642e-02,8.989563211798667908e-04
3.800000000000000044e-01,4.694754779338836670e-01,1.471331715583801270e+00,2.792801335453987122e-02,9.034574031829833984e-04
