tau,Phenol_65 PINN,cb,Phenyl Acetate_65 PINN,cd
0.000000000000000000e+00,1.663213521242141724e-01,3.556422293186187744e-01,-3.938893787562847137e-04,-4.094094038009643555e-05
1.000000000000000021e-02,1.661330759525299072e-01,3.554686307907104492e-01,-1.795799471437931061e-04,1.895949244499206543e-04
2.000000000000000042e-02,1.658999174833297729e-01,3.553085923194885254e-01,-6.533926352858543396e-05,3.842785954475402832e-04
2.999999999999999889e-02,1.656102240085601807e-01,3.551802635192871094e-01,1.513538882136344910e-05,5.468279123306274414e-04
4.000000000000000083e-02,1.655220836400985718e-01,3.550293743610382080e-01,1.660962589085102081e-04,8.104965090751647949e-04
5.000000000000000278e-02,1.653652787208557129e-01,3.549523055553436279e-01,3.249547444283962250e-04,1.011297106742858887e-03
5.999999999999999778e-02,1.650658398866653442e-01,3.547666370868682861e-01,4.301131702959537506e-04,1.181632280349731445e-03
7.000000000000000666e-02,1.649093925952911377e-01,3.544908165931701660e-01,5.352334119379520416e-04,1.444377005100250244e-03
8.000000000000000167e-02,1.647010892629623413e-01,3.543048799037933350e-01,5.967044271528720856e-04,1.600258052349090576e-03
8.999999999999999667e-02,1.644550561904907227e-01,3.542158901691436768e-01,7.446794770658016205e-04,1.796148717403411865e-03
1.000000000000000056e-01,1.643004417419433594e-01,3.541098833084106445e-01,8.844523690640926361e-04,2.059407532215118408e-03
1.100000000000000006e-01,1.640039831399917603e-01,3.537874519824981689e-01,1.004567835479974747e-03,2.103380858898162842e-03
1.199999999999999956e-01,1.637777090072631836e-01,3.536977767944335938e-01,1.148686278611421585e-03,2.324171364307403564e-03
1.300000000000000044e-01,1.635797619819641113e-01,3.535230457782745361e-01,1.316970679908990860e-03,2.554543316364288330e-03
1.400000000000000133e-01,1.633987724781036377e-01,3.532343506813049316e-01,1.483818981796503067e-03,2.686627209186553955e-03
1.499999999999999944e-01,1.631176471710205078e-01,3.531840741634368896e-01,1.576412003487348557e-03,2.919457852840423584e-03
1.600000000000000033e-01,1.629228740930557251e-01,3.530529737472534180e-01,1.671713311225175858e-03,3.115169703960418701e-03
1.700000000000000122e-01,1.626363098621368408e-01,3.528734743595123291e-01,1.917820889502763748e-03,3.165453672409057617e-03
1.799999999999999933e-01,1.624784171581268311e-01,3.526669144630432129e-01,2.028985414654016495e-03,3.396280109882354736e-03
1.900000000000000022e-01,1.622234284877777100e-01,3.525725305080413818e-01,2.171756234019994736e-03,3.541529178619384766e-03
2.000000000000000111e-01,1.620436459779739380e-01,3.523745834827423096e-01,2.229389268904924393e-03,3.722295165061950684e-03
2.099999999999999922e-01,1.616861373186111450e-01,3.522023558616638184e-01,2.440135460346937180e-03,3.848947584629058838e-03
2.200000000000000011e-01,1.614876240491867065e-01,3.520023226737976074e-01,2.495499793440103531e-03,4.013635218143463135e-03
2.300000000000000100e-01,1.613165587186813354e-01,3.519046604633331299e-01,2.622056286782026291e-03,4.261739552021026611e-03
2.399999999999999911e-01,1.609980612993240356e-01,3.515921235084533691e-01,2.782336901873350143e-03,4.314988851547241211e-03
2.500000000000000000e-01,1.608472466468811035e-01,3.514336347579956055e-01,2.916856203228235245e-03,4.556015133857727051e-03
2.600000000000000089e-01,1.605685502290725708e-01,3.511939942836761475e-01,3.025531303137540817e-03,4.618890583515167236e-03
2.700000000000000178e-01,1.602925807237625122e-01,3.510479331016540527e-01,3.158732783049345016e-03,4.796922206878662109e-03
2.800000000000000266e-01,1.600913703441619873e-01,3.508903086185455322e-01,3.268939908593893051e-03,4.964806139469146729e-03
2.899999999999999800e-01,1.599198281764984131e-01,3.507750034332275391e-01,3.359236288815736771e-03,5.282357335090637207e-03
2.999999999999999889e-01,1.596060097217559814e-01,3.505944609642028809e-01,3.556147683411836624e-03,5.331732332706451416e-03
3.099999999999999978e-01,1.593663245439529419e-01,3.503375947475433350e-01,3.715449478477239609e-03,5.356639623641967773e-03
3.200000000000000067e-01,1.591002494096755981e-01,3.501552939414978027e-01,3.782533574849367142e-03,5.556061863899230957e-03
3.300000000000000155e-01,1.589490622282028198e-01,3.500098884105682373e-01,3.863192629069089890e-03,5.765184760093688965e-03
3.400000000000000244e-01,1.586536616086959839e-01,3.496141731739044189e-01,3.990715835243463516e-03,5.837857723236083984e-03
3.500000000000000333e-01,1.583534032106399536e-01,3.495517075061798096e-01,4.170851316303014755e-03,5.970932543277740479e-03
3.599999999999999867e-01,1.580719947814941406e-01,3.493523597717285156e-01,4.323718603700399399e-03,6.058059632778167725e-03
3.699999999999999956e-01,1.579151451587677002e-01,3.492354452610015869e-01,4.405962768942117691e-03,6.386488676071166992e-03
3.800000000000000044e-01,1.576315313577651978e-01,3.488609194755554199e-01,4.378318320959806442e-03,6.463780999183654785e-03
