tau,phenyl_acetate
1.02,0.02113786
1.04,0.02109936
1.06,0.02106085
1.08,0.02102235
1.11,0.0209646
1.14,0.02090684
1.16,0.02086834
1.19,0.02081059
1.22,0.02075283
1.25,0.02069508
1.29,0.02061808
1.32,0.02056032
1.36,0.02048332
1.4,0.02040631
1.44,0.02032931
1.49,0.02023305
1.53,0.02125337
1.58,0.02298598
1.64,0.02506511
1.7,0.02714425
1.76,0.02922338
1.82,0.03130251
1.89,0.03372817
1.97,0.03650035
2.05,0.0419677
2.14,0.04993771
2.24,0.05879328
2.35,0.06853441
2.47,0.07916109
2.6,0.08181776
2.74,0.08181776
2.9,0.08181776
3.08,0.08073969
3.28,0.07804452
3.51,0.07515683
3.77,0.07715896
4.06,0.07973863
4.41,0.08445518
4.81,0.09103911
5.28,0.10133852
5.83,0.10176205
6.49,0.10857698
7.29,0.10857698
8.24,0.11415984
9.4,0.12089778
10.79,0.12249563
